Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,
LANC,Lancaster Colony Corporation,154.97,$4.26B,n/a,Consumer Non-Durables,Packaged Foods,https://old.nasdaq.com/symbol/lanc,
LCA,"Landcadia Holdings II, Inc.",9.97,$394.13M,2019,Finance,Business Services,https://old.nasdaq.com/symbol/lca,
LCAHU,"Landcadia Holdings II, Inc.",10.125,n/a,2019,Finance,Business Services,https://old.nasdaq.com/symbol/lcahu,
LCAHW,"Landcadia Holdings II, Inc.",0.5275,n/a,2019,Finance,Business Services,https://old.nasdaq.com/symbol/lcahw,
LNDC,Landec Corporation,10.41,$303.79M,1996,Consumer Non-Durables,Packaged Foods,https://old.nasdaq.com/symbol/lndc,
LARK,Landmark Bancorp Inc.,26.3,$118.18M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/lark,
LMRK,Landmark Infrastructure Partners LP,10.05,$256.05M,2014,Consumer Services,Real Estate,https://old.nasdaq.com/symbol/lmrk,
LMRKN,Landmark Infrastructure Partners LP,24.05,n/a,n/a,Consumer Services,Real Estate,https://old.nasdaq.com/symbol/lmrkn,
LMRKO,Landmark Infrastructure Partners LP,22.83,n/a,n/a,Consumer Services,Real Estate,https://old.nasdaq.com/symbol/lmrko,
LMRKP,Landmark Infrastructure Partners LP,23.68,n/a,n/a,Consumer Services,Real Estate,https://old.nasdaq.com/symbol/lmrkp,
LE,"Lands&#39; End, Inc.",8.12,$264.68M,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://old.nasdaq.com/symbol/le,
LSTR,"Landstar System, Inc.",106.67,$4.09B,1993,Transportation,Trucking Freight/Courier Services,https://old.nasdaq.com/symbol/lstr,
LTRN,Lantern Pharma Inc.,14.75,$88.95M,2020,n/a,n/a,https://old.nasdaq.com/symbol/ltrn,
LNTH,"Lantheus Holdings, Inc.",13.01,$519.63M,2015,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://old.nasdaq.com/symbol/lnth,
LTRX,"Lantronix, Inc.",3.48,$97.3M,2000,Technology,Computer Communications Equipment,https://old.nasdaq.com/symbol/ltrx,
LRMR,"Larimar Therapeutics, Inc.",14.89,$228.1M,2014,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/lrmr,
LSCC,Lattice Semiconductor Corporation,26.1,$3.51B,n/a,Technology,Semiconductors,https://old.nasdaq.com/symbol/lscc,
LAUR,"Laureate Education, Inc.",10.38,$2.18B,2017,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/laur,
LAWS,"Lawson Products, Inc.",33.2,$298.68M,n/a,Consumer Durables,Industrial Specialties,https://old.nasdaq.com/symbol/laws,
LAZY,"Lazydays Holdings, Inc.",7.9611,$66.75M,n/a,Consumer Durables,Automotive Aftermarket,https://old.nasdaq.com/symbol/lazy,
LCNB,LCNB Corporation,14.86,$192.73M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/lcnb,
LPTX,"LEAP THERAPEUTICS, INC.",2.36,$84.49M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/lptx,
LEGH,Legacy Housing Corporation,13.47,$333.57M,2018,Basic Industries,Homebuilding,https://old.nasdaq.com/symbol/legh,
LEGN,Legend Biotech Corporation,38.04,$4.92B,2020,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/legn,
INFR,Legg Mason Global Infrastructure ETF,27.5877,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/infr,
LVHD,Legg Mason Low Volatility High Dividend ETF,29.1,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/lvhd,
SQLV,Legg Mason Small-Cap Quality Value ETF,22.6,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/sqlv,
LACQ,Leisure Acquisition Corp.,10.4596,$73.62M,2017,Finance,Business Services,https://old.nasdaq.com/symbol/lacq,
LACQU,Leisure Acquisition Corp.,11.6291,n/a,2017,Finance,Business Services,https://old.nasdaq.com/symbol/lacqu,
LACQW,Leisure Acquisition Corp.,0.48,n/a,2017,Finance,Business Services,https://old.nasdaq.com/symbol/lacqw,
LMAT,"LeMaitre Vascular, Inc.",24.58,$495.99M,2006,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/lmat,
TREE,"LendingTree, Inc.",271.62,$3.55B,n/a,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/tree,
LEVL,"Level One Bancorp, Inc.",16.87,$130.42M,2018,Finance,Major Banks,https://old.nasdaq.com/symbol/levl,
LXRX,"Lexicon Pharmaceuticals, Inc.",1.87,$200.03M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/lxrx,
LX,LexinFintech Holdings Ltd.,9.17,$1.66B,2017,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/lx,
LFAC,LF Capital Acquistion Corp.,10.48,$203.38M,2018,Finance,Business Services,https://old.nasdaq.com/symbol/lfac,
LFACU,LF Capital Acquistion Corp.,11.23,n/a,2018,Finance,Business Services,https://old.nasdaq.com/symbol/lfacu,
LFACW,LF Capital Acquistion Corp.,0.6,n/a,2018,Finance,Business Services,https://old.nasdaq.com/symbol/lfacw,
LGIH,"LGI Homes, Inc.",85.05,$2.13B,2013,Capital Goods,Homebuilding,https://old.nasdaq.com/symbol/lgih,
LHCG,LHC Group,155.52,$4.91B,2005,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/lhcg,
LLIT,Lianluo Smart Limited,0.633,$18.23M,n/a,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/llit,
LBRDA,Liberty Broadband Corporation,127.33,$23.16B,n/a,Consumer Services,Television Services,https://old.nasdaq.com/symbol/lbrda,
LBRDK,Liberty Broadband Corporation,128.48,$23.37B,n/a,Consumer Services,Television Services,https://old.nasdaq.com/symbol/lbrdk,
LBTYA,Liberty Global plc,22.335,$13.54B,n/a,n/a,n/a,https://old.nasdaq.com/symbol/lbtya,
LBTYB,Liberty Global plc,23.15,$14.04B,n/a,Consumer Services,Television Services,https://old.nasdaq.com/symbol/lbtyb,
