userId,stockSymbol,stockName,fairValue,investmentName,starRating,analystRating,Date,comment
hankmoody789,AMCX,AMC Networks Inc A,52,-,-,-,2020-06-22,
hankmoody789,AMCI,AMCI Acquisition Corp Class A,9.86,-,-,-,2020-06-22,
hankmoody789,,-,—,-,-,-,2020-06-22,
hankmoody789,AMCIW,-,0,-,-,-,2020-06-22,No result in autocomplete search
hankmoody789,DOX,Amdocs Ltd,—,-,-,-,2020-06-22,
hankmoody789,AMED,Amedisys Inc,161.91,-,-,-,2020-06-22,
hankmoody789,AMTB,Amerant Bancorp Inc Ordinary Shares - Class A,18.79,-,-,-,2020-06-22,
hankmoody789,AMTBB,Amerant Bancorp Inc Class B,12.97,-,-,-,2020-06-22,
hankmoody789,UHAL,Amerco Inc,339.5,-,-,-,2020-06-22,
hankmoody789,AMRH,Ameri Holdings Inc,3.13,-,-,-,2020-06-22,
hankmoody789,AMRHW,-,0,-,-,-,2020-06-22,No result in autocomplete search
hankmoody789,ATAX,America First Multifamily Investors LP,4.97,-,-,-,2020-06-22,
hankmoody789,AMOV,America Movil SAB de CV ADR,18,-,-,-,2020-06-22,
hankmoody789,AAL,American Airlines Group Inc,15.7,-,-,-,2020-06-22,
hankmoody789,AFIN,American Finance Trust Inc,12.09,-,-,-,2020-06-22,
hankmoody789,AFINP,American Finance Trust Inc Pref Share,32.17,-,-,-,2020-06-22,
hankmoody789,AMNB,American National Bankshares Inc,27.08,-,-,-,2020-06-22,
hankmoody789,ANAT,American National Insurance Co,94.91,-,-,-,2020-06-22,
hankmoody789,APEI,American Public Education Inc,31.9,-,-,-,2020-06-22,
hankmoody789,AREC,American Resources Corp,1.58,-,-,-,2020-06-22,
hankmoody789,AMRB,American River Bankshares,12.55,-,-,-,2020-06-22,
hankmoody789,AMSWA,American Software Inc Class A,16.54,-,-,-,2020-06-22,
hankmoody789,AMSC,American Superconductor Corp,9.68,-,-,-,2020-06-22,
hankmoody789,AVCT,American Virtual Cloud Technologies Inc,3.79,-,-,-,2020-06-22,
hankmoody789,AVCTW,-,0,-,-,-,2020-06-22,No result in autocomplete search
hankmoody789,AMWD,American Woodmark Corp,83.9,-,-,-,2020-06-22,
hankmoody789,CRMT,America's Car-Mart Inc,104.84,-,-,-,2020-06-22,
hankmoody789,ABCB,Ameris Bancorp,27.86,-,-,-,2020-06-22,
hankmoody789,AMSF,AMERISAFE Inc,60.41,-,-,-,2020-06-22,
hankmoody789,ASRV,AmeriServ Financial Inc,3.88,-,-,-,2020-06-22,
hankmoody789,ASRVP,Ameriserv Financial Capital Trust I Pref Share,—,-,-,-,2020-06-22,
hankmoody789,ATLO,Ames National Corp,22.38,-,-,-,2020-06-22,
hankmoody789,AMGN,Amgen Inc,219,-,-,-,2020-06-22,
hankmoody789,FOLD,Amicus Therapeutics Inc,13.48,-,-,-,2020-06-22,
hankmoody789,AMKR,Amkor Technology Inc,14.62,-,-,-,2020-06-22,
hankmoody789,AMPH,Amphastar Pharmaceuticals Inc,21.75,-,-,-,2020-06-22,
hankmoody789,IBUY,-,0,Amplify Online Retail ETF,5,-,2020-06-22,
hankmoody789,AMHC,Amplitude Healthcare Acquisition Corp Ordinary Shares Class A,8.54,-,-,-,2020-06-22,
hankmoody789,,-,—,-,-,-,2020-06-22,
hankmoody789,AMHCW,-,0,-,-,-,2020-06-22,No result in autocomplete search
hankmoody789,ASYS,Amtech Systems Inc,7.07,-,-,-,2020-06-22,
hankmoody789,AMRS,Amyris Inc,5.51,-,-,-,2020-06-22,
hankmoody789,ADI,Analog Devices Inc,103,-,-,-,2020-06-22,
hankmoody789,ANAB,AnaptysBio Inc,32.06,-,-,-,2020-06-22,
hankmoody789,AVXL,Anavex Life Sciences Corp,4.56,-,-,-,2020-06-22,
hankmoody789,ANCN,Anchiano Therapeutics Ltd ADR,2.32,-,-,-,2020-06-22,
hankmoody789,ANDA,Andina Acquisition Corp III Ordinary Shares,10.04,-,-,-,2020-06-22,
hankmoody789,ANDAR,-,0,-,-,-,2020-06-22,No result in autocomplete search
hankmoody789,,-,—,-,-,-,2020-06-22,
hankmoody789,ANDAW,-,0,-,-,-,2020-06-22,No result in autocomplete search
hankmoody789,ANGI,ANGI Homeservices Inc A,11.78,-,-,-,2020-06-22,
hankmoody789,ANGO,AngioDynamics Inc,12.38,-,-,-,2020-06-22,
hankmoody789,ANIP,ANI Pharmaceuticals Inc,39.98,-,-,-,2020-06-22,
hankmoody789,ANIK,Anika Therapeutics Inc,44.67,-,-,-,2020-06-22,
hankmoody789,ANIX,Anixa Biosciences Inc,2.37,-,-,-,2020-06-22,
hankmoody789,ANPC,AnPac Bio-Medical Science Co Ltd ADR,7.63,-,-,-,2020-06-22,
hankmoody789,ANSS,Ansys Inc,196,-,-,-,2020-06-22,
hankmoody789,ATRS,Antares Pharma Inc,3,-,-,-,2020-06-22,
hankmoody789,ATEX,Anterix Inc,49.09,-,-,-,2020-06-22,
hankmoody789,APA,Apache Corp,15,-,-,-,2020-06-22,
hankmoody789,APLS,Apellis Pharmaceuticals Inc,31.35,-,-,-,2020-06-22,
hankmoody789,APEX,Apex Global Brands Inc,1.34,-,-,-,2020-06-22,
hankmoody789,APXT,Apex Technology Acquisition Corp Ordinary Shares - Class A,8.39,-,-,-,2020-06-22,
hankmoody789,,-,—,-,-,-,2020-06-22,
hankmoody789,APXTW,-,0,-,-,-,2020-06-22,No result in autocomplete search
hankmoody789,APHA,Aphria Inc,6.33,-,-,-,2020-06-22,
hankmoody789,APOG,Apogee Enterprises Inc,28.89,-,-,-,2020-06-22,
hankmoody789,APEN,Apollo Endosurgery Inc,2.42,-,-,-,2020-06-22,
hankmoody789,AINV,Apollo Investment Corp,12.89,-,-,-,2020-06-22,
hankmoody789,AMEH,Apollo Medical Holdings Inc,19.32,-,-,-,2020-06-22,
hankmoody789,APPF,AppFolio Inc A,106.11,-,-,-,2020-06-22,
hankmoody789,APPN,Appian Corp A,40.64,-,-,-,2020-06-22,
hankmoody789,AAPL,Apple Inc,240,-,-,-,2020-06-22,
hankmoody789,APDN,Applied DNA Sciences Inc,11.26,-,-,-,2020-06-22,
hankmoody789,AGTC,Applied Genetic Technologies Corp,8.9,-,-,-,2020-06-22,
hankmoody789,AMAT,Applied Materials Inc,65,-,-,-,2020-06-22,
hankmoody789,AMTI,Applied Molecular Transport Inc Ordinary Shares,23.98,-,-,-,2020-06-22,
hankmoody789,AAOI,Applied Optoelectronics Inc,14,-,-,-,2020-06-22,
hankmoody789,APLT,Applied Therapeutics Inc,46.78,-,-,-,2020-06-22,
hankmoody789,APRE,Aprea Therapeutics Inc,34.71,-,-,-,2020-06-22,
hankmoody789,APVO,Aptevo Therapeutics Inc,11.09,-,-,-,2020-06-22,
