Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
STCN,"Steel Connect, Inc.",0.6284,$39.2M,n/a,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/stcn
STLD,"Steel Dynamics, Inc.",26.42,$5.56B,1996,Basic Industries,Steel/Iron Ore,https://old.nasdaq.com/symbol/stld
SMRT,"Stein Mart, Inc.",0.4409,$21.32M,1992,Consumer Services,Clothing/Shoe/Accessory Stores,https://old.nasdaq.com/symbol/smrt
SRCL,"Stericycle, Inc.",56.75,$5.19B,1996,Basic Industries,Environmental Services,https://old.nasdaq.com/symbol/srcl
SBT,"Sterling Bancorp, Inc.",3.71,$186.25M,2017,Finance,Savings Institutions,https://old.nasdaq.com/symbol/sbt
STRL,Sterling Construction Company Inc,10.51,$294.04M,n/a,Basic Industries,Military/Government/Technical,https://old.nasdaq.com/symbol/strl
SHOO,"Steven Madden, Ltd.",23.47,$1.95B,1993,Consumer Non-Durables,Shoe Manufacturing,https://old.nasdaq.com/symbol/shoo
SFIX,"Stitch Fix, Inc.",23.44,$2.4B,2017,Consumer Services,Catalog/Specialty Distribution,https://old.nasdaq.com/symbol/sfix
SYBT,"Stock Yards Bancorp, Inc.",34.55,$783.05M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/sybt
STOK,"Stoke Therapeutics, Inc.",22.54,$743.21M,2019,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/stok
BANX,StoneCastle Financial Corp,17.7604,$116.54M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/banx
STNE,StoneCo Ltd.,36.99,$10.25B,2018,Technology,EDP Services,https://old.nasdaq.com/symbol/stne
SSKN,"Strata Skin Sciences, Inc.",1.26,$42.48M,n/a,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/sskn
SSYS,"Stratasys, Ltd.",16.69,$914.6M,1994,Technology,Computer peripheral equipment,https://old.nasdaq.com/symbol/ssys
STRA,"Strategic Education, Inc.",161.61,$3.59B,1996,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/stra
HNDL,Strategy Shares Nasdaq 7HANDL Index ETF,23.8081,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/hndl
