Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
NRBO,"NeuroBo Pharmaceuticals, Inc.",9.73,$159.84M,2016,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/nrbo
NBIX,"Neurocrine Biosciences, Inc.",114.82,$10.66B,1996,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/nbix
NURO,"NeuroMetrix, Inc.",1.81,$6.29M,2004,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/nuro
STIM,"Neuronetics, Inc.",1.89,$35.4M,2018,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/stim
NTRP,"Neurotrope, Inc.",1.33,$29.51M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/ntrp
NBEV,New Age Beverages Corporation,1.71,$158.33M,n/a,Consumer Non-Durables,Beverages (Production/Distribution),https://old.nasdaq.com/symbol/nbev
NFE,New Fortress Energy LLC,12.9,$2.17B,2019,Public Utilities,Oil/Gas Transmission,https://old.nasdaq.com/symbol/nfe
NPA,New Providence Acquisition Corp.,9.92,$285.2M,2019,Finance,Business Services,https://old.nasdaq.com/symbol/npa
NPAUU,New Providence Acquisition Corp.,10.15,n/a,2019,Finance,Business Services,https://old.nasdaq.com/symbol/npauu
NPAWW,New Providence Acquisition Corp.,0.55,n/a,2019,Finance,Business Services,https://old.nasdaq.com/symbol/npaww
NYMT,"New York Mortgage Trust, Inc.",2.69,$1.02B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/nymt
NYMTM,"New York Mortgage Trust, Inc.",17.84,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/nymtm
NYMTN,"New York Mortgage Trust, Inc.",17.84,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/nymtn
NYMTO,"New York Mortgage Trust, Inc.",18.03,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/nymto
NYMTP,"New York Mortgage Trust, Inc.",18.27,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/nymtp
NEWA,"Newater Technology, Inc.",3.14,$33.94M,2017,Basic Industries,Miscellaneous,https://old.nasdaq.com/symbol/newa
NBAC,Newborn Acquisition Corp.,9.82,$73.26M,2020,Finance,Business Services,https://old.nasdaq.com/symbol/nbac
NBACR,Newborn Acquisition Corp.,0.1599,n/a,2020,Finance,Business Services,https://old.nasdaq.com/symbol/nbacr
NBACU,Newborn Acquisition Corp.,10.04,n/a,2020,Finance,Business Services,https://old.nasdaq.com/symbol/nbacu
NBACW,Newborn Acquisition Corp.,0.2,n/a,2020,Finance,Business Services,https://old.nasdaq.com/symbol/nbacw
NWL,Newell Brands Inc.,15.3,$6.49B,n/a,Consumer Non-Durables,Plastic Products,https://old.nasdaq.com/symbol/nwl
NWGI,"Newgioco Group, Inc.",2.688,$28.82M,n/a,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/nwgi
NMRK,"Newmark Group, Inc.",4.91,$875.09M,2017,Finance,Real Estate,https://old.nasdaq.com/symbol/nmrk
NWS,News Corporation,11.75,$6.91B,n/a,Consumer Services,Newspapers/Magazines,https://old.nasdaq.com/symbol/nws
NWSA,News Corporation,11.72,$6.9B,n/a,Consumer Services,Newspapers/Magazines,https://old.nasdaq.com/symbol/nwsa
NEWT,Newtek Business Services Corp.,18.18,$380.08M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/newt
NEWTI,Newtek Business Services Corp.,24.51,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/newti
NEWTL,Newtek Business Services Corp.,24.23,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/newtl
NXMD,"Nexeon Medsystems, Inc.",n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/nxmd
NXST,"Nexstar Media Group, Inc.",83.3,$3.77B,2003,Consumer Services,Broadcasting,https://old.nasdaq.com/symbol/nxst
NXTC,"NextCure, Inc.",23.74,$653.26M,2019,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/nxtc
NEXT,NextDecade Corporation,2.2,$265.37M,2015,Public Utilities,Oil & Gas Production,https://old.nasdaq.com/symbol/next
NXGN,"NextGen Healthcare, Inc.",10.16,$671.63M,n/a,Technology,EDP Services,https://old.nasdaq.com/symbol/nxgn
NGM,"NGM Biopharmaceuticals, Inc.",20.7,$1.41B,2019,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/ngm
NODK,"NI Holdings, Inc.",15.74,$342.81M,2017,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/nodk
EGOV,NIC Inc.,23.65,$1.58B,1999,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/egov
NICE,NICE Ltd,185.2,$11.56B,n/a,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/nice
NICK,"Nicholas Financial, Inc.",7.31,$57.02M,n/a,Finance,Finance Companies,https://old.nasdaq.com/symbol/nick
NCBS,Nicolet Bankshares Inc.,54.89,$571.56M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/ncbs
NKLA,Nikola Corporation,64,$23.1B,2018,Capital Goods,Auto Manufacturing,https://old.nasdaq.com/symbol/nkla
NKLAW,Nikola Corporation,23.02,$682.31M,2018,Capital Goods,Auto Manufacturing,https://old.nasdaq.com/symbol/nklaw
NIU,Niu Technologies,11.63,$869.3M,2018,Capital Goods,Auto Manufacturing,https://old.nasdaq.com/symbol/niu
LASR,"nLIGHT, Inc.",22.56,$868.3M,2018,Technology,Semiconductors,https://old.nasdaq.com/symbol/lasr
NMIH,NMI Holdings Inc,17,$1.17B,2013,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/nmih
NNBR,"NN, Inc.",4.59,$196.26M,1994,Capital Goods,Metal Fabrications,https://old.nasdaq.com/symbol/nnbr
NBL,Noble Energy Inc.,10.25,$4.92B,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/nbl
NBLX,Noble Midstream Partners LP,9.69,$875.71M,n/a,Energy,Natural Gas Distribution,https://old.nasdaq.com/symbol/nblx
NDLS,Noodles & Company,5.645,$249.2M,2013,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/ndls
NDSN,Nordson Corporation,185.68,$10.71B,n/a,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/ndsn
NSYS,Nortech Systems Incorporated,4.3,$11.43M,n/a,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/nsys
NBN,Northeast Bank,15.83,$132.95M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/nbn
NTIC,Northern Technologies International Corporation,8.62,$78.42M,n/a,Capital Goods,Industrial Specialties,https://old.nasdaq.com/symbol/ntic
NTRS,Northern Trust Corporation,83.61,$17.4B,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/ntrs
NTRSO,Northern Trust Corporation,24.94,n/a,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/ntrso
NFBK,"Northfield Bancorp, Inc.",10.77,$530.87M,n/a,Finance,Savings Institutions,https://old.nasdaq.com/symbol/nfbk
NRIM,Northrim BanCorp Inc,23.57,$150.05M,n/a,Finance,Savings Institutions,https://old.nasdaq.com/symbol/nrim
NWBI,"Northwest Bancshares, Inc.",10.12,$1.29B,2009,Finance,Major Banks,https://old.nasdaq.com/symbol/nwbi
NWPX,Northwest Pipe Company,23.72,$232.17M,1995,Basic Industries,Steel/Iron Ore,https://old.nasdaq.com/symbol/nwpx
NLOK,NortonLifeLock Inc.,19.85,$11.69B,n/a,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/nlok
NCLH,Norwegian Cruise Line Holdings Ltd.,20.5,$5.26B,n/a,Consumer Services,Marine Transportation,https://old.nasdaq.com/symbol/nclh
NWFL,Norwood Financial Corp.,22.61,$143.09M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/nwfl
NVFY,"Nova Lifestyle, Inc",1.7,$9.41M,n/a,Consumer Durables,Home Furnishings,https://old.nasdaq.com/symbol/nvfy
NVMI,Nova Measuring Instruments Ltd.,47.43,$1.33B,2000,Capital Goods,Electronic Components,https://old.nasdaq.com/symbol/nvmi
NOVN,"Novan, Inc.",0.414,$31.25M,2016,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/novn
